nome_municipio,numero_de_nascidos_vivos_no_municipio,cobertura_saude_suplementar,total_mulheres,numero_internacoes_por_abortamento,taxa_de_abortos_inseguros_por_100_nascidos_vivos_2,taxa_de_abortos_inseguros_por_100_nascidos_vivos_5,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_2,taxa_de_abortos_inseguros_por_1000_mulheres_ferteis_5
Alta Floresta D'Oeste,333,0.08,6820.0,6,2.918918918918919,7.297297297297297,1.4252199413489737,3.563049853372434
Ariquemes,1507,0.07,35954.0,67,7.135700066357001,17.839250165892505,2.990905045335707,7.477262613339268
Cabixi,69,0.04,1502.0,,,,,
Cacoal,1323,0.11,27681.0,87,10.948979591836736,27.37244897959184,5.23301181315704,13.082529532892599
Cerejeiras,269,0.05,5051.0,8,4.684014869888476,11.71003717472119,2.494555533557712,6.236388833894278
Colorado do Oeste,203,0.08,4680.0,9,7.182266009852217,17.955665024630544,3.115384615384616,7.788461538461539
Corumbiara,107,0.02,2187.0,3,4.289719626168225,10.72429906542056,2.0987654320987654,5.246913580246914
Costa Marques,190,0.01,5813.0,5,3.986842105263158,9.967105263157896,1.3031137106485464,3.2577842766213663
Espigão D'Oeste,471,0.04,10341.0,16,5.2993630573248405,13.248407643312103,2.413693066434581,6.034232666086452
Guajará-Mirim,858,0.04,14516.0,79,14.363636363636365,35.909090909090914,8.489942132818959,21.224855332047397
Jaru,892,0.05,16831.0,67,11.830156950672647,29.575392376681613,6.269680945873685,15.674202364684215
Ji-Paraná,2132,0.11,41744.0,53,4.1390712945591,10.34767823639775,2.113956496742047,5.284891241855117
Machadinho D'Oeste,561,0.02,12603.0,21,5.727272727272728,14.318181818181818,2.54939300166627,6.3734825041656755
Nova Brasilândia D'Oeste,230,0.02,6433.0,10,6.6521739130434785,16.630434782608695,2.3783615731385046,5.945903932846262
Ouro Preto do Oeste,600,0.07,11456.0,6,1.6050000000000002,4.012500000000001,0.8406075418994414,2.1015188547486034
Pimenta Bueno,579,0.09,11818.0,19,5.365284974093265,13.413212435233163,2.6286173633440515,6.57154340836013
Porto Velho,7892,0.16,173225.0,396,8.730866700456158,21.827166751140396,3.97771684225718,9.94429210564295
Presidente Médici,259,0.07,5556.0,9,5.577220077220078,13.943050193050194,2.599892008639309,6.499730021598273
Rio Crespo,48,0.02,1145.0,1,3.1875,7.968750000000001,1.3362445414847162,3.3406113537117905
Rolim de Moura,877,0.06,18282.0,3,0.5438996579247435,1.3597491448118588,0.26091237282573027,0.6522809320643256
Santa Luzia D'Oeste,99,0.04,1806.0,2,3.151515151515152,7.87878787878788,1.7275747508305648,4.318936877076412
Vilhena,1553,0.11,33701.0,97,10.399549259497748,25.998873148744366,4.792291029939765,11.980727574849412
São Miguel do Guaporé,363,0.02,7339.0,25,10.537190082644628,26.34297520661157,5.211881727755825,13.029704319389563
Nova Mamoré,423,0.01,10051.0,25,8.953900709219859,22.384751773049647,3.768281763008656,9.42070440752164
Alvorada D'Oeste,210,0.05,4274.0,6,4.500000000000001,11.25,2.211043518951802,5.5276087973795045
Alto Alegre dos Parecis,146,0.01,4121.0,,,,,
Alto Paraíso,218,0.01,6883.0,10,6.9495412844036695,17.373853211009173,2.2010751125962518,5.502687781490629
Buritis,508,0.02,13031.0,12,3.6141732283464565,9.035433070866143,1.408947893484767,3.5223697337119177
Novo Horizonte do Oeste,78,0.02,2457.0,,,,,
Cacaulândia,70,0.02,1977.0,2,4.371428571428571,10.928571428571429,1.5477996965098635,3.8694992412746587
Campo Novo de Rondônia,173,0.01,4417.0,,,,,
Candeias do Jamari,344,0.03,8756.0,10,4.491279069767442,11.228197674418606,1.7645043398812243,4.41126084970306
Castanheiras,37,0.03,913.0,,,,,
Chupinguaia,162,0.02,3748.0,5,4.722222222222222,11.805555555555555,2.0410885805763073,5.102721451440769
Cujubim,246,0.01,8567.0,10,6.158536585365853,15.396341463414634,1.768413680401541,4.421034201003852
Governador Jorge Teixeira,86,0.01,2270.0,5,8.808139534883722,22.0203488372093,3.337004405286344,8.342511013215859
Itapuã do Oeste,118,0.05,3172.0,4,5.3389830508474585,13.347457627118645,1.986128625472888,4.965321563682219
Ministro Andreazza,74,0.02,3049.0,2,4.135135135135135,10.337837837837839,1.0036077402427026,2.5090193506067564
Mirante da Serra,168,0.02,3374.0,5,4.553571428571429,11.383928571428571,2.267338470657973,5.668346176644931
Monte Negro,167,0.01,4921.0,11,9.979041916167663,24.947604790419163,3.386506807559439,8.466267018898597
Nova União,87,0.01,2061.0,,,,,
Parecis,59,0.01,1830.0,,,,,
Pimenteiras do Oeste,39,0.01,649.0,,,,,
Primavera de Rondônia,38,0.04,828.0,1,4.105263157894737,10.263157894736844,1.8840579710144927,4.710144927536232
São Felipe D'Oeste,65,0.04,1540.0,3,7.199999999999999,18.000000000000004,3.0389610389610384,7.597402597402598
São Francisco do Guaporé,266,0.01,6448.0,5,2.8477443609022557,7.1193609022556394,1.1747828784119108,2.9369571960297765
Seringueiras,162,0.02,3704.0,8,7.555555555555555,18.88888888888889,3.3045356371490278,8.26133909287257
Teixeirópolis,42,0.02,1244.0,1,3.642857142857143,9.107142857142858,1.229903536977492,3.07475884244373
Theobroma,115,0.01,3100.0,3,3.9521739130434783,9.880434782608697,1.4661290322580645,3.6653225806451615
Urupá,143,0.03,3401.0,5,5.4020979020979025,13.505244755244755,2.2713907674213467,5.6784769185533674
Vale do Anari,72,0.01,3473.0,3,6.3125,15.781250000000002,1.3086668586236683,3.271667146559171
Vale do Paraíso,62,0.02,2075.0,1,2.467741935483871,6.169354838709678,0.7373493975903614,1.8433734939759037
Acrelândia,237,0.02,4934.0,7,4.518987341772152,11.29746835443038,2.170652614511553,5.426631536278882
Assis Brasil,215,0.01,2466.0,12,8.455813953488372,21.13953488372093,7.372262773722627,18.43065693430657
Brasiléia,527,0.01,8584.0,75,21.560721062618597,53.901802656546494,13.23683597390494,33.09208993476235
Bujari,241,0.01,3132.0,5,3.1431535269709543,7.8578838174273855,2.4185823754789273,6.046455938697318
Capixaba,190,0.0,3777.0,5,3.9473684210526314,9.868421052631579,1.9857029388403493,4.964257347100874
Cruzeiro do Sul,1691,0.01,29538.0,116,10.392667060910703,25.981667652276762,5.9496242128783265,14.874060532195816
Epitaciolândia,293,0.01,6104.0,34,17.580204778156997,43.95051194539249,8.43872870249017,21.096821756225427
Feijó,789,0.01,10489.0,16,3.0722433460076046,7.680608365019012,2.3109924683001237,5.77748117075031
Jordão,204,0.0,2571.0,4,2.941176470588235,7.352941176470589,2.333722287047841,5.834305717619603
Mâncio Lima,420,0.0,6047.0,26,9.285714285714286,23.214285714285715,6.449479080535803,16.123697701339506
Manoel Urbano,279,0.0,2869.0,1,0.5376344086021506,1.3440860215053763,0.5228302544440572,1.3070756361101428
Marechal Thaumaturgo,333,0.0,5767.0,14,6.306306306306306,15.765765765765765,3.641408011097625,9.10352002774406
Plácido de Castro,285,0.03,5955.0,4,2.168421052631579,5.421052631578948,1.0377833753148615,2.594458438287154
Porto Walter,287,0.0,3577.0,10,5.2264808362369335,13.066202090592336,4.193458205199888,10.48364551299972
Rio Branco,5745,0.09,142071.0,349,9.932375979112273,24.83093994778068,4.01640728931309,10.041018223282727
Rodrigues Alves,347,0.0,6154.0,20,8.645533141210375,21.613832853025936,4.874878128046799,12.187195320116997
Santa Rosa do Purus,146,0.0,2078.0,,,,,
Senador Guiomard,401,0.02,7453.0,13,4.960099750623441,12.400249376558605,2.6687240037568767,6.671810009392191
Sena Madureira,668,0.01,14891.0,29,6.577095808383233,16.442739520958085,2.9504398630044997,7.376099657511249
