CODMUNRES,ANO,ABORTOS_SUS_MENOR_30,ABORTOS_SUS_30_A_39,ABORTOS_SUS_40_OU_MAIS
110002,2012,0,0,0
110002,2013,0,0,0
110002,2014,0,0,0
110002,2015,0,0,0
110002,2016,0,0,0
110002,2017,0,0,0
110002,2018,0,0,0
110002,2019,2,1,0
110002,2020,1,0,0
110003,2012,0,0,0
110003,2013,0,0,0
110003,2014,0,0,0
110003,2015,0,0,0
110003,2016,0,0,0
110003,2017,0,0,0
110003,2018,1,0,0
110003,2019,0,0,0
110003,2020,0,0,0
110008,2012,0,0,0
110008,2013,0,0,0
110008,2014,0,0,0
110008,2015,0,0,0
110008,2016,0,0,0
110008,2017,0,0,0
110008,2018,0,0,0
110008,2019,0,0,0
110008,2020,1,1,0
110010,2012,0,0,0
110010,2013,0,0,0
110010,2014,0,0,0
110010,2015,0,0,0
110010,2016,0,0,0
110010,2017,0,0,0
110010,2018,0,0,0
110010,2019,0,0,0
110010,2020,2,0,0
110011,2012,0,0,0
110011,2013,0,0,0
110011,2014,0,0,0
110011,2015,0,0,0
110011,2016,0,0,0
110011,2017,0,0,0
110011,2018,0,0,0
110011,2019,0,0,0
110011,2020,3,3,0
110012,2012,0,0,0
110012,2013,0,0,0
110012,2014,0,0,0
110012,2015,0,0,0
110012,2016,0,0,0
110012,2017,0,0,0
110012,2018,0,0,0
110012,2019,1,0,0
110012,2020,1,1,0
110013,2012,0,0,0
110013,2013,0,0,0
110013,2014,0,0,0
110013,2015,0,0,0
110013,2016,0,0,0
110013,2017,0,0,0
110013,2018,0,0,0
110013,2019,0,0,0
110013,2020,1,0,0
110015,2012,0,0,0
110015,2013,0,0,0
110015,2014,0,0,0
110015,2015,0,0,0
110015,2016,0,0,0
110015,2017,0,0,0
110015,2018,0,0,0
110015,2019,0,0,0
110015,2020,1,0,0
110018,2012,0,0,0
110018,2013,0,0,0
110018,2014,0,0,0
110018,2015,0,0,0
110018,2016,0,0,0
110018,2017,0,0,0
110018,2018,0,0,0
110018,2019,0,0,0
110018,2020,1,0,0
110020,2012,32,2,0
110020,2013,45,2,1
110020,2014,33,4,1
110020,2015,29,5,1
110020,2016,25,4,0
110020,2017,34,10,1
110020,2018,30,5,1
110020,2019,56,10,1
110020,2020,123,29,6
110025,2012,0,0,0
110025,2013,0,0,0
110025,2014,0,0,0
110025,2015,0,0,0
110025,2016,0,0,0
110025,2017,0,0,0
110025,2018,0,0,0
110025,2019,0,0,0
110025,2020,1,0,0
110030,2012,0,0,0
110030,2013,0,0,0
110030,2014,0,0,0
110030,2015,0,0,0
110030,2016,0,0,0
110030,2017,0,0,0
110030,2018,0,0,0
110030,2019,0,0,0
110030,2020,2,2,0
110033,2012,0,0,0
110033,2013,0,0,0
110033,2014,0,0,0
110033,2015,0,0,0
110033,2016,0,0,0
110033,2017,0,0,0
110033,2018,0,0,0
110033,2019,1,0,0
110033,2020,5,0,0
110037,2012,0,0,0
110037,2013,0,0,0
110037,2014,0,0,0
110037,2015,0,0,0
110037,2016,0,0,0
110037,2017,0,0,0
110037,2018,0,0,0
110037,2019,0,0,0
110037,2020,1,1,0
110040,2012,0,0,0
110040,2013,0,0,0
110040,2014,0,0,0
110040,2015,0,0,0
110040,2016,0,0,0
110040,2017,0,0,0
110040,2018,0,0,0
